ARCH_frequency,mean_WT,mean_AT_min,aet_mm_syr,area,ari_ix_sav,run_mm_syr,pre_mm_syr,swc_pc_syr,cmi_ix_syr,tmp_dc_syr,ele_mt_sav,tmp_dc_smx
1.58974359,7.515739961,-1.3162590724394003,705.7602044507777,180.6074609467932,168.18083159876224,1277.6895649127368,1310.196993565304,93.85399012303182,38.63181193817221,39.418551366542815,617.8121478925863,172.518014141947
1.948717949,12.03909365,3.8920945046170736,782.9126169828401,236.87978447827115,125.94341256374662,808.7905429823005,1218.577043184815,86.98693421828071,20.95054937420406,88.06638168981476,150.97693388024473,214.03364406610143
2.461538462,12.46483712,3.7166379719040847,778.852635903298,1245.6082952382303,123.77699412179513,791.1454185827715,1197.92140794639,86.69095367707585,19.26436971009637,87.81695939871194,140.3506843700834,213.9168169300552
1.948717949,11.91160067,5.117217197279851,758.9850207353418,764.6960642634632,130.29442046290072,788.2595581792659,1202.590277066239,87.99747004903892,22.999386709389498,96.08968923092152,74.56489924807671,214.55608276256535
2.153846154,11.8698301,3.785213078285838,794.9042248302582,1328.1076807257882,126.4279797842142,792.65812339017,1223.1084128650514,87.83686444811153,20.73672363876374,86.42605271589598,178.9676041090811,210.34377960389375
2.102564103,11.29778924,3.037181892165274,786.6520429969818,391.3949554127165,125.77878831588548,760.3293151001365,1207.9295229614945,87.78422322551239,20.386979935740055,80.59136808878276,233.41456605408752,208.3789916834881
2.41025641,11.956197,3.2206577972019246,781.5021995938847,261.9211450368883,126.15191454008576,774.6169944672263,1203.83822664764,87.58007172973697,20.578793455413763,81.67556839459118,210.4433773179267,209.239435753016
2.358974359,12.51937939,3.7297544841564605,787.0329898421536,1835.9412747471863,126.51496981020186,792.2546210258646,1218.8451305269652,87.56479732676794,20.81681993627786,86.151547123384,169.48798706904284,211.36635865217255
1.769230769,11.41815571,4.663452786079105,794.9562131797162,230.40530206177976,128.54299992377088,795.133029538883,1241.053040186698,87.98860601489186,22.54351335365285,91.8538674835028,126.29799311648132,213.83435903370412
1.615384615,8.118195029,0.8821575582388518,777.838497290718,106.80930949164136,128.9861549922225,726.358779269702,1209.6454070124914,88.01504259080338,21.991674823590294,68.94620342382595,305.4057232705485,199.95892673059393
2,11.25019657,0.356026151581283,734.8503035582871,25002.629087406694,127.94492091358096,699.0498564190432,1126.588653848186,88.75404413400459,20.237475255633093,57.83589776370017,389.869544660532,190.6531770599367
2,10.77428882,3.9848725242369976,795.8920929986389,38.006131917108256,113.23791770832396,817.0614525899782,1145.1683553449006,85.056250922129,11.196112420301954,93.75069988616696,69.37397541539023,221.721808617953
1.666666667,9.174837826,3.1253026443327365,811.6025676163837,10.608145229646745,125.31537955280162,893.9137429175463,1231.103790518937,88.06153014414394,20.164067745761017,90.53465950287952,157.3131784210271,216.5898116776633
1.974358974,9.709132968,2.3742037865570316,790.6980906169096,976.2934203353608,132.58339314559083,865.0101913851526,1233.268711985898,89.90528896414165,24.21103841978495,76.00051484901985,344.50508535044037,203.46629010109996
2,11.04397922,2.850817889025165,796.6935692806708,1490.719518242426,129.29801458076236,868.3117761612122,1226.819936512159,89.0057145147905,22.134565542942088,80.69223486178623,278.77016796917565,208.3516492383022
1.794871795,12.22412525,3.9247662921952164,797.9024808938022,190.38492394852173,119.92068996242784,824.5330700299652,1186.3430583262727,86.96218336890627,16.90581812561847,90.03715909734622,130.3389845682776,216.06988778435084
1.666666667,11.09757863,4.319385590430729,796.9528740698606,270.8670921779403,128.9275014187652,819.7748867302478,1238.2634136666627,88.17978800292074,22.193765503400098,91.35144849992244,152.5445525463016,213.6128570042596
1.743589744,11.33175934,5.539032539284953,779.6871734703249,14.817998275767687,127.22905782344164,816.2068095281827,1205.1760493226957,88,21.11452891172081,100.77094217655838,55.84097449776139,221.8854710882792
2,11.97606431,4.761926445438685,807.385370710559,285.3422845017316,123.52293972753333,892.4703091545754,1219.7534391370448,87.50474084538611,19.009840429608783,97.42601398359275,98.64185449930042,222.41094635768633
2,10.75490593,1.6971203126289585,767.8339593759505,1208.6870472840135,124.00803895127622,791.9963022108976,1141.5296389584712,88.70569172347193,18.69413645773338,70.29893295279722,392.9495902085727,197.90888320501284
1.846153846,11.63029837,4.627031783048401,813.2738271788534,154.8602849564713,124.14290966256728,858.4955129970616,1215.5464127956575,88.69834719269195,19.42083989657873,93.97741789406926,172.23487597625396,217.1446432807886
1.974358974,11.84004844,2.812992817672135,790.757796814461,3992.5922731787928,124.48776753076376,838.7193187823221,1179.6393875399249,88.70619599484641,19.155237011655252,79.62063041285982,301.12829884668315,205.14503835560657
1.974358974,11.88880652,3.5820145623520876,805.4647541005234,673.4547046324963,129.79138679375572,901.1358353666968,1243.930513353952,89.19353831987789,22.99606178581444,86.3265932537042,241.18981946706535,211.15700496121764
1.717948718,12.04651713,5.808801178884494,794.9848933239355,25.99524899734307,123.59546799718063,884.2060426704259,1190.3516586365934,88.19848933239355,19.39697866478708,101.4045320028194,80.13050929010282,223.4045320028194
1.358974359,10.98817397,5.937544309895759,801.6097026644305,19.21356581715542,121.79193988174347,865.9114576999729,1186.7876847653154,87.26795483407521,17.584730786772596,104.04967214190782,52.29351641609408,225.20806011825653
1.743589744,10.8940403,4.841556215823002,809.8577383769207,53.69902001266706,125.84576300040284,857.2495424428106,1222.527991820195,88.30577880228732,20.213835029538647,98.7894540436506,127.1170971627394,220.88139781639933
1.666666667,12.80420598,6.692141564027708,776.0402478229429,189.9832830334617,122.97382769514992,793.8378766236505,1157.574348545486,87.01938749239551,18.954440202754416,109.02968879739645,36.55471288045231,227.075248594642
1.717948718,10.56768745,2.082088867391809,744.7946803066179,154.55795166357598,114.2332250069748,691.6998131939116,1054.6191627485196,87.04535739358201,12.158519317737316,71.76372071273599,310.8101929375425,202.65614932795427
1.615384615,10.29730694,3.32812736443884,731.8656475514819,40.56478072705689,98.17996817723822,589.0977856569046,957.3481681640928,82.02944851291765,-1.82003182276176,84.81675472302953,95.31001027766534,217.68624189528097
2.128205128,11.65815852,3.8530918405147014,829.6172267637726,364.4724284302651,116.21821817610144,646.457269557992,1170.673617477894,87.72202919360774,13.901580356711309,89.52404085816475,228.35138027207944,214.21208802472157
1.974358974,12.75121946,6.143422375388915,833.6503406432802,146.3141746723077,119.95667362676252,744.433263732375,1209.5358197715868,87.95667362676252,15.972131874781647,107.89157586994652,79.55169855056626,232.91944399516487
1.794871795,12.41476481,5.043326494574867,869.160828502384,179.80557859290974,121.23984567223512,694.9534649671875,1261.2936879135416,88.96730556612304,18.033267926998978,99.82913955645986,133.5091299873258,222.82450747859463
1.743589744,10.96262567,3.65356446340794,839.0161512099476,163.9312625675309,128.75125855689146,685.9694741359936,1262.4776382071248,89.96071300361639,21.853851362684686,89.0608578033614,299.9777788363536,212.09300549852497
2.025641026,11.64914209,4.60886820178848,827.9901499802882,318.36757936142186,125.9533316854112,734.8987861103456,1233.55586455708,89.50067766156474,20.42349130127564,95.3435741537999,235.9170389897759,220.20232625159196
2.102564103,12.85701348,4.746259154972831,851.0127099184659,1979.4012244076453,123.84543715861356,703.2231122164766,1250.9604442556297,89.05743423177711,18.988041553571293,97.27446754121888,188.9615437317636,220.78167045879533
2,12.40132196,5.997074917322616,840.8037231849302,146.2714289584228,120.30491856088236,729.0696712818802,1217.5375933682776,88.10244945995501,17.143805790960158,108.48088576515391,82.00061877444574,232.51830421546563
1.743589744,12.50114013,6.189835526227397,858.0784264667319,67.03219680402717,116.17470762482402,689.1321345399447,1222.2209382686558,87.06411891295964,14.110588711864397,111.06335646550028,55.88768486059517,234.1794040776944
1.769230769,12.87522466,6.335484056652483,858.4875489956825,107.75628514335428,116.06745212308574,688.5147938196875,1222.395827598979,87.03189987761252,14.039643872504271,111.04827772880904,55.71960925343667,234.10579718047555
1.41025641,10.23891744,4.613144003562374,857.8997615639158,30.40423636468652,117.57642067523255,662.9703837158256,1224.5484106834044,87.8588068917442,14.717613783488371,96.51343252391744,191.43549129667775,218.5707899898192
1.717948718,11.94477815,5.450058665914269,858.9036671385921,65.908234327824,110.06375793607047,630.402296147649,1183.189881893607,85.99452512716307,9.042841331352037,107.91979221013284,83.20056052067046,230.94070881485132
1.871794872,13.39560517,6.033790825737379,849.8072317759692,669.6130422698635,110.02841601471316,622.1629975440782,1167.9082988384737,85.4789338810284,8.988258580743375,111.48897727067224,50.62404253652485,233.2396943086177
1.743589744,12.52542123,6.085746754804694,862.051335550861,125.47317170255673,113.29606553196474,676.946601648228,1209.7342640914785,87.02875974035459,12.196738459549383,109.92217586020158,49.6241188601172,231.99156895859016
1.333333333,11.47086914,6.845992796558932,806.1054665884202,16.234718400539002,120.97740001676708,669,1173.0376666387217,87.9924666722557,16.984933344511397,114.99246667225567,17.143133227141693,232.01506665548857
1.871794872,11.80498104,6.484059921190171,821.161646111582,114.00704647571068,115.92184695629534,653.7234228174941,1174.7118834904488,86.00359413881142,13.921401042668666,113.99980757100964,32.02908617487863,233.0071272219769
1.512820513,11.27623771,7.383918495357975,806.2264861119735,35.23179834258617,108.11992060388984,607.3462087807424,1099.2921195484942,84.04072804243657,7.119920603889832,119.91588452146512,14.956724261932566,236.9183459800059
1.897435897,13.38317748,7.2755181372012725,835.693391832188,269.91204357024515,103.34659525334872,617.0023958865529,1110.9934888398475,83.00466476257029,3.3465952533487293,122.10014678019344,36.508680362088704,243.05016353234797
1.871794872,13.47738486,7.519631810687503,828.0607479773163,81.88057553239567,101.00531173116262,598.1916057036282,1091.080250524344,82.01362953059457,1.005311731162629,123.99468826883736,29.9476484204094,244.01611361274047
2.153846154,10.12769868,2.8706130084203294,799.0448756590242,305.4678295102629,117.92475643062524,613.0305441356248,1137.4994464598951,88.46756836064844,15.420667722969508,78.20128845407616,393.0977981351036,201.21438945068215
